interval	n_switch_errors_grch38	n_switch_errors_chm13	n_checked_grch38	n_checked_chm13	switch_error_rate_grch38	switch_error_rate_chm13	n_gt_checked_grch38	n_gt_checked_chm13	genotype_error_rate_grch38	genotype_error_rate_chm13	abs_diff_GER	rel_drop_GER	abs_diff_SER	rel_drop_SER	decipher
2p14	2004	1551	186204	172401	1.0762389637172134	0.8996467537891313	1265067	1160289	1.042553477404754	0.8267767771649994	0.2157767002397546	20.696943122466116	0.1765922099280821	16.4082713859524	False
10p15.3	1563	1214	143830	133561	1.0866995758882014	0.9089479713389387	962616	886473	0.8507026685615032	0.6188569759033834	0.23184569265811983	27.253434275709942	0.17775160454926275	16.357014256123136	False
2q21.2	1094	722	114365	90181	0.9565863682070564	0.8006121023275412	740224	589980	1.0252302005879301	0.7612122444828638	0.2640179561050663	25.75206582420827	0.15597426587951524	16.30529882752354	False
2p25.1	2625	2095	231919	220899	1.1318606927418624	0.9483972313138583	1521039	1428871	0.8469210848637018	0.6303578139664112	0.21656327089729055	25.57065525557708	0.18346346142800407	16.20901428987477	False
Xq24	1095	838	83570	76321	1.3102788081847554	1.097993999030411	910689	808470	1.3486492095545242	1.1748116813239824	0.17383752823054177	12.889751241389336	0.21228480915434433	16.201499087697314	False
3p21.31	2412	1881	171997	160037	1.402350040989087	1.175353199572599	1262974	1146823	1.2425433936090529	0.874590063157087	0.3679533304519659	29.612915922656036	0.22699684141648802	16.18688877823867	False
20p11.23	1417	1021	144351	124090	0.9816350423620203	0.8227899105487952	928713	794840	0.8001395479550734	0.63069296965427	0.16944657830080334	21.177128256422286	0.15884513181322502	16.181689218328053	False
12q13.2	834	532	75108	57160	1.1104010225275602	0.9307207837648706	486515	365359	0.9054191545995498	0.7871709743019879	0.1182481802975619	13.060048453454787	0.17968023876268968	16.181562797347837	False
14q32.11	1008	750	92364	81990	1.0913342860854878	0.9147457006952067	616774	546083	0.9849636982103656	0.6735239881116973	0.3114397100986682	31.619410001052838	0.1765885853902811	16.180980258916588	False
3q12.1	478	360	67263	60437	0.7106432957197866	0.5956615980276982	448340	404662	0.7603604407369408	0.5263652134373873	0.23399522729955347	30.774250574209972	0.11498169769208832	16.179945464148403	False
